p_x,p_y,p_z,u_x,u_y,u_z,dot
-8.323124886,-4.339626789,-4.787643433,0.526220866,0.269468499,0.522602588,0.871341075
-8.488996506,-4.032274246,-4.749126911,0.534014671,0.249704148,0.518517035,0.868781899
-8.413632393,-3.962685108,-5.235526085,0.513493712,0.238408428,0.564948514,0.854319618
-8.869327545,-0.237408504,-6.640443325,0.466784581,0.011852806,0.693858919,0.802927038
-8.856947899,-0.720336378,-6.612725258,0.477203979,0.038872264,0.690659556,0.810491698
-9.020090103,-0.725979805,-6.146239281,0.512080636,0.040195744,0.654269882,0.818300292
-9.035016060,-0.241389692,-6.168978691,0.508319988,0.013061039,0.658167600,0.816319112
-8.513338089,-2.215202570,-6.847649097,0.438614572,0.111926935,0.698567840,0.790695086
-8.423563004,-2.725181103,-6.701102257,0.445046627,0.138988285,0.685169803,0.800392320
-8.596416473,-2.729220629,-6.209387302,0.482129698,0.147659526,0.646242377,0.836694786
-8.695219040,-2.222378016,-6.350954533,0.479813229,0.118268713,0.660050526,0.829547099
-8.424142838,-1.718128443,-7.449432373,0.406554929,0.082935435,0.755067841,0.745233653
-8.344389915,-2.208723783,-7.317469120,0.401767322,0.106783555,0.736402768,0.753727687
-8.597906113,-1.720509410,-6.962129116,0.440575804,0.086335064,0.715566905,0.783080925
-8.774330139,-1.723802328,-6.473398685,0.469602540,0.085563618,0.673073574,0.814487970
-8.864446640,-2.227693558,-5.869527817,0.518663617,0.125157196,0.622560679,0.830593835
-8.938424110,-1.728047609,-6.001220703,0.509941059,0.096018937,0.631885863,0.822675611
-8.478581429,-1.228757858,-7.534008503,0.408423233,0.059874106,0.762310114,0.741656053
-8.657406807,-1.222275019,-7.033964157,0.441211268,0.061389898,0.724665557,0.777931407
-8.826581001,-1.221152425,-6.559520721,0.476673752,0.062667040,0.688654106,0.811265302
-8.990550995,-1.228082061,-6.089304924,0.517638149,0.067341667,0.650332958,0.821305426
-8.510874748,-0.732743979,-7.580481529,0.401191289,0.034092289,0.766622289,0.734751290
-8.692094803,-0.722776651,-7.074676037,0.432516903,0.032928788,0.727696076,0.770174865
-8.525051117,-0.243821755,-7.607017517,0.403391823,0.011690502,0.768091599,0.735172748
-8.706359863,-0.240348637,-7.097897053,0.436590871,0.011813644,0.729299988,0.771774136
-8.025650024,-3.639588118,-6.869967937,0.404739219,0.173757007,0.700035475,0.787784426
-7.898984432,-3.983009100,-6.728470802,0.407068276,0.197406701,0.691017419,0.795481868
-8.191969872,-3.688900709,-6.388000965,0.441745304,0.193216321,0.668138014,0.803527930
-7.964004993,-3.196539640,-7.493344784,0.381366317,0.144431300,0.748804421,0.763778234
-7.842158794,-3.660867453,-7.298007488,0.384893619,0.171631524,0.736912158,0.767294931
-8.151320457,-3.198604107,-7.025397778,0.404915132,0.147223142,0.712690005,0.779834509
-8.326750755,-3.214963436,-6.554116726,0.449142031,0.166313647,0.675451483,0.806977733
-8.367734909,-3.681173325,-5.844506264,0.485775648,0.208169509,0.622600134,0.836617521
-8.493824959,-3.214704037,-6.057903290,0.484388008,0.177044182,0.634641470,0.838158604
-8.073585510,-2.707550526,-7.644597054,0.378962203,0.116918675,0.755191445,0.757902655
-8.253132820,-2.714804649,-7.170613289,0.408249758,0.128423893,0.721123503,0.771526730
-7.966722965,-2.212175369,-8.235465050,0.345374582,0.091450296,0.801964426,0.733975678
-7.875871658,-2.707107544,-8.094978333,0.342313637,0.107802642,0.786211307,0.730906553
-8.172291756,-2.208415031,-7.782804012,0.381839330,0.100580930,0.770943649,0.753118649
-8.039813995,-1.731473446,-8.363745689,0.346592823,0.075329769,0.815284076,0.740548151
-8.253219604,-1.725466967,-7.914539814,0.379371057,0.079936195,0.788861029,0.747162780
-8.094893456,-1.247060657,-8.452070236,0.339287024,0.052163563,0.824294292,0.740739759
-8.308605194,-1.238278866,-8.008378983,0.370558110,0.056623537,0.799664717,0.739040667
-7.923629761,-0.751371861,-8.912389755,0.293366042,0.029951264,0.842942491,0.723008802
-7.895865917,-1.252615929,-8.872660637,0.300640837,0.049738318,0.842657254,0.725075574
-8.127750397,-0.747311115,-8.488615036,0.332073136,0.032668241,0.823135829,0.741834488
-8.340165138,-0.742165446,-8.056770325,0.362111956,0.037364369,0.800285378,0.734601867
-7.939258099,-0.250127941,-8.931299210,0.300916639,0.006746768,0.849855698,0.729009696
-8.146696091,-0.248977214,-8.507952690,0.333571937,0.007761381,0.825806912,0.744492977
-8.356208801,-0.247161701,-8.080873489,0.366140454,0.011435460,0.800544427,0.736760686
-9.879487991,-0.641941369,-0.872413695,0.757049782,0.043089185,0.111244673,0.994834530
-9.856301308,-0.947256923,-0.767583609,0.761408207,0.066409960,0.099618627,0.995959251
-9.862259865,-0.977387190,-0.279450953,0.765891508,0.067505362,0.041651559,0.999158461
-9.894386292,-0.640990376,-0.297429532,0.764305081,0.042520995,0.045341292,0.998758197
